"","X","county","latitude","longitude","year","month","pm","ozone","surface_pressure","precipitation","drought","fire_burnt_area","temperature","GDP","population","wind"
"557",557,"Los Angeles",34.0103,-118.0685,2017,5,NA,67,991.480169857171,0.513814263109126,0,0,24.5615990423387,65.5619045319091,2488.59876847291,1.45988230026715
"558",558,"Los Angeles",34.0103,-118.0685,2017,6,NA,67,990.293321017655,0.105269209974675,0,0,28.8358072916667,65.5619045319091,2488.59876847291,1.5640354307787
"559",559,"Los Angeles",34.0103,-118.0685,2017,7,NA,79,992.233903243404,0.131257108583789,0,0,31.5066595262097,65.5619045319091,2488.59876847291,1.62100498288213
"560",560,"Los Angeles",34.0103,-118.0685,2017,8,NA,82,991.086428536005,0.115205759442866,0,0,31.4027973790323,65.5619045319091,2488.59876847291,1.44022047036335
"561",561,"Los Angeles",34.0103,-118.0685,2017,9,NA,86,990.445192670105,0.290241900074839,0,0,29.4121419270834,65.5619045319091,2488.59876847291,1.10639983557512
"562",562,"Los Angeles",34.0103,-118.0685,2017,10,NA,73,991.648916137671,0.182086380863379,0,0,29.4819934475807,65.5619045319091,2488.59876847291,0.301687882219319
"563",563,"Los Angeles",34.0103,-118.0685,2017,11,NA,51,995.068840755803,0.1029761600974,0,0,24.23525390625,65.5619045319091,2488.59876847291,0.22737576085289
"564",564,"Los Angeles",34.0103,-118.0685,2017,12,NA,39,997.622534467368,0.0315094389223385,0,0,22.9987210181452,65.5619045319091,2488.59876847291,0.945753015604744
"565",565,"Los Angeles",34.0511,-118.4564,2017,1,NA,46,995.563829845269,5.81687427928653,2.8,0,15.4577368951613,65.5619045319091,2488.59876847291,0.510996813197146
"566",566,"Los Angeles",34.0511,-118.4564,2017,2,NA,48,994.157610841103,3.87848278303028,0.5,0,16.3883126395089,65.5619045319091,2488.59876847291,0.2569230023404
"567",567,"Los Angeles",34.0511,-118.4564,2017,3,NA,59,994.810096459036,0.391900444634019,0,0,22.9731728830645,65.5619045319091,2488.59876847291,0.473388751674152
"568",568,"Los Angeles",34.0511,-118.4564,2017,4,NA,71,991.744539029954,0.0479429630428074,0,0,24.9245442708333,65.5619045319091,2488.59876847291,0.84619834777413
"569",569,"Los Angeles",34.0511,-118.4564,2017,5,NA,77,990.068325976989,0.292917124931659,0,0,24.2093119959677,65.5619045319091,2488.59876847291,1.15658252723265
"570",570,"Los Angeles",34.0511,-118.4564,2017,6,NA,62,988.85335275739,0.0108719900268652,0,0.237535,28.2579427083333,65.5619045319091,2488.59876847291,1.2208364331811
"571",571,"Los Angeles",34.0511,-118.4564,2017,7,NA,61,990.861433495338,0.0490894879814439,0,0,30.812638608871,65.5619045319091,2488.59876847291,1.3749792063768
"572",572,"Los Angeles",34.0511,-118.4564,2017,8,NA,55,989.702709035906,0.060554737367817,0,0,30.9196824596774,65.5619045319091,2488.59876847291,1.24817216500027
"573",573,"Los Angeles",34.067,-117.7514,2017,1,NA,39,982.69973839516,7.39754999468793,2.6,0,14.5647807459677,65.5619045319091,2488.59876847291,0.333163536581211
"574",574,"Los Angeles",34.067,-117.7514,2017,2,NA,40,981.271019886927,3.93733772988033,0.5,0,16.0537004743303,65.5619045319091,2488.59876847291,0.0330151371336283
